AvgH,1/Beta,Beta,m,n,nBSum,nSum,n1,n2,h1,h2,Total Drilling
147.40013346996085,2.0,0.5,15,15,394.0,225,56,169,84.1752031237086,168.3504062474172,33165.03003074119
144.0469631530763,1.5384615384615383,0.65,15,15,316.0,225,56,169,102.56508452355116,157.79243772854022,32410.566709442162
140.892814359489,1.25,0.8,15,15,267.25,225,56,169,118.61883341771758,148.27354177214698,31700.883230885025
137.87339261145254,1.0526315789473684,0.9500000000000001,15,15,233.89473684210523,225,56,169,132.6302325413951,139.61077109620535,31021.51333757683
134.35279050472195,0.9090909090909091,1.1,15,15,209.6363636363636,225,56,169,144.1991138331253,131.09010348465932,30229.37786356244
130.75344851570324,0.8,1.25,15,15,191.2,225,56,169,153.86781336837464,123.09425069469972,29419.52591603323
126.795961868327,0.7142857142857143,1.4,15,15,176.7142857142857,225,56,169,161.4419077951617,115.31564842511551,28529.091420373577
122.80458574713612,0.6451612903225807,1.5499999999999998,15,15,165.03225806451616,225,56,169,167.42806598637105,108.01810708798133,27631.031793105623
119.61388037678236,0.5882352941176472,1.6999999999999997,15,15,155.41176470588232,225,56,169,173.17301000802144,101.86647647530674,26913.123084776038
116.71284337192718,0.5405405405405407,1.8499999999999996,15,15,147.35135135135135,225,56,169,178.21614473061146,96.33305120573596,26260.389758683617
114.0398453716633,0.5000000000000001,1.9999999999999996,15,15,140.5,225,56,169,182.62608689412272,91.31304344706139,25658.96520862425
